case_id,race_ethnicity,sex,age_band,primary_language,county_type,program,outcome_status,decision_date
2001,Black,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2002,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2003,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2004,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2005,Hispanic,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2006,White,Male,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2007,Asian,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2008,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2009,White,Female,Under 18,English,Rural,Benefits Eligibility,Approved,2026-03-15
2010,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2011,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2012,White,Female,18 to 64,Other than English,Rural,Benefits Eligibility,Approved,2026-03-15
2013,White,Female,65 and over,Spanish,Urban,Benefits Eligibility,Withdrawn,2026-03-15
2014,White,Female,65 and over,English,Rural,Benefits Eligibility,Approved,2026-03-15
2015,White,Female,Under 18,Spanish,Rural,Benefits Eligibility,Denied,2026-03-15
2016,White,Female,65 and over,Spanish,Urban,Benefits Eligibility,Approved,2026-03-15
2017,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2018,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2019,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2020,White,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2021,White,Male,18 to 64,Spanish,Rural,Benefits Eligibility,Approved,2026-03-15
2022,White,Male,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2023,White,Male,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2024,White,Female,18 to 64,English,Rural,Benefits Eligibility,Approved,2026-03-15
2025,White,Female,65 and over,English,Urban,Benefits Eligibility,Approved,2026-03-15
2026,White,Female,18 to 64,Spanish,Urban,Benefits Eligibility,Denied,2026-03-15
2027,White,Female,65 and over,English,Rural,Benefits Eligibility,Denied,2026-03-15
2028,Hispanic,Female,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
2029,White,Male,18 to 64,English,Urban,Benefits Eligibility,Approved,2026-03-15
